"Part";"Value";"Device";"Package";"Description";"MANUFACTURER";"MAXIMUM_PACKAGE_HEIGHT";"MPN";"PARTREV";"POPULARITY";"PROD_ID";"STANDARD";"TP_SIGNAL_NAME";"VALUE";
"B1";"ARDUINO_UNO_R3";"ARDUINO_UNO_R3";"ARDUINO_R3";"Arduino R3 Footprint with SPI header";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C2";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C4";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C5";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C6";"100pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C7";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C8";"100pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C9";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C10";"47 uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"C11";"100pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";
"D1";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"D2";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"D3";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"D4";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"D5";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"D6";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";"";"1N4148";"";"";"";"";"";"1N4148";
"K1";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"K2";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"K3";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"K4";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"K5";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"K6";"2071508-1";"2071508-1";"RELAY_2071508-1";"Power Relay 5VDC 10A SPST-NO(18.2mm 10.2mm 15.2mm) THT";"TE Connectivity";"15.7mm";"";"0919";"";"";"Manufacturer Recommendations";"";"";
"Q1";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q2";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q3";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q4";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q5";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"Q6";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";
"R1";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R2";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R3";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R4";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R5";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R7";"2.727k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R8";"2.727k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R9";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R10";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R11";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
